id,hash,ignored,data,files
3,26575138,false,,[0]
4,7137201,false,,[0]
5,9049119,false,,[0]
6,6720426,false,,[0]
7,4211296,false,,[0]
8,1307722,false,,[0]
9,3562561,false,,[0]
10,3456231,false,,[0]
11,2610541,false,,[0]
12,396245,false,,[0]
13,1195249,false,,[0]
14,2250881,false,,[0]
15,4433121,false,,"[0,1]"
16,5016407,false,,"[0,1]"
17,344322,false,,"[0,1]"
18,1148146,false,,[0]
19,3801147,false,,[0]
20,2348699,false,,[0]
21,1120975,false,,[0]
22,666849,false,,[0]
23,1986475,false,,[0]
24,245270,false,,[0]
25,1356965,false,,[0]
26,2133857,false,,[0]
27,2403398,false,,[0]
28,2807515,false,,[0]
29,5612663,false,,[0]
30,899049,false,,"[0,2]"
31,2557567,false,,"[0,1]"
32,2833008,false,,[0]
33,1125187,false,,[0]
34,634282,false,,[0]
35,7151941,false,,"[0,2]"
36,5715578,false,,"[0,2]"
37,2356464,false,,"[0,2]"
38,853897,false,,"[0,2]"
39,349000,false,,"[0,2]"
40,1732224,false,,[0]
41,3370410,false,,[0]
42,1579717,false,,[0]
43,9720556,false,,[1]
44,136078,false,,[1]
45,4602056,false,,[1]
46,3031656,false,,[1]
47,1028179,false,,[1]
48,1814389,false,,"[1,2]"
49,2408017,false,,[1]
50,680332,false,,[1]
51,3480261,false,,[1]
52,1049138,false,,[1]
53,1234876,false,,[1]
54,2916005,false,,[1]
55,261167,false,,[1]
56,217524,false,,[1]
57,406953,false,,[1]
58,1542889,false,,[1]
59,776494,false,,[1]
60,2801176,false,,"[1,2]"
61,1929086,false,,"[1,2]"
62,397759,false,,"[1,2]"
63,6844090,false,,"[1,2]"
64,3770050,false,,"[1,2]"
65,2175541,false,,"[1,2]"
66,49947,false,,"[1,2]"
67,6071315,false,,[2]
68,5164584,false,,[2]
69,833303,false,,[2]
70,1320902,false,,[2]
71,4746487,false,,[2]
72,3382505,false,,[2]
73,4232875,false,,[2]
74,6952713,false,,[2]
75,3888021,false,,[2]
76,564311,false,,[2]
77,3140054,false,,[2]
78,2846689,false,,[2]
79,1286422,false,,[2]
80,1913301,false,,[2]
81,392670,false,,[2]
82,1395028,false,,[2]
83,1867486,false,,[2]
84,3426407,false,,[2]
85,5450606,false,,[2]
86,2617169,false,,[2]
87,401652,false,,[2]
88,29305,false,,[2]
89,3681327,false,,[2]
90,1097927,false,,[2]
91,7076854,false,,[2]
